FirstName,LastName,PlayerTeamNumber,Team ID,PlayerID,TeamStartYear,TeamEndYear,StartYear,EndYear,Number,AcademicYear,Weight,Position,REDShirtMedical,RedShirtOther,Season
Matt,Vail,1,1,1,2017,,2017,,0,1,145,G,0,1,2017
Chris ,McNeal,2,1,2,2016,,2016,,1,2,185,G,0,0,2017
Sam,Logwood,3,1,3,2014,2017,2014,,2,4,215,G,0,0,2017
Antino,Jackson,4,1,4,2017,2017,2014,2017,3,4,165,G,0,0,2017
Mike,Mondragon,5,1,5,2017,,2017,,4,3,210,G,0,0,2017
Joe,Furstinger,6,1,6,2014,2017,2014,2017,5,4,230,F,0,0,2017
Makuach ,Maluach,7,1,7,2017,,2017,,10,1,190,G,0,0,2017
Jachai,Simmons,8,1,8,2017,,2017,,11,3,180,F,0,0,2017
Carlton,Bragg,9,1,9,2018,,2015,,12,2,220,F,0,1,2017
JaQuan,Lyle,10,1,10,2018,,2015,,13,3,210,G,0,1,2017
Dane,Kuiper,11,1,11,2015,,2015,,14,3,200,F,0,0,2017
Vladimir,Pinchuk,12,1,12,2017,,2017,,15,1,225,F,0,0,2017
Vance,Jackson,13,1,13,2018,,2016,,22,2,229,F,0,1,2017
Troy ,Simons,14,1,14,2017,,2017,,31,3,197,G,0,0,2017
Anthony ,Mathis,15,1,15,2015,,2015,,32,3,180,G,0,0,2017
Connor,MacDougall,16,1,16,2014,,2014,,55,4,235,F,1,1,2017
Caleb,Morris,17,2,17,2016,,2016,,0,2,185,G,0,0,2017
Dane,Norman,18,2,18,2015,,2015,,1,3,190,F,0,0,2017
CJ ,Siples,19,2,19,2014,2017,2014,2017,2,4,175,G,0,0,2017
Sid ,Tomes,20,2,20,2016,,2016,,3,2,200,G,0,0,2017
Christopher,Joyce,21,2,21,2017,,2017,,5,1,196,G,0,0,2017
Ameka,Akaya,22,2,22,2017,,2017,,11,1,215,F,0,0,2017
Lavelle,Scottie,23,2,23,2016,,2016,,12,2,200,F,0,0,2017
LeSean,Brown,24,2,24,2016,,2016,,13,2,185,G,0,0,2017
Jacob ,Van,25,2,25,2014,2017,2014,2017,15,4,175,G,0,0,2017
Trevor,Lyons,26,2,26,2014,2017,2014,2017,20,4,190,G,0,0,2017
Pervis,Louder,27,2,27,2015,,2015,,22,3,187,G,0,0,2017
Kobi,Betts,28,2,28,2017,,2017,,23,2,190,G,0,1,2017
Charles,O'Briant,29,2,29,2017,,2017,,24,1,200,F,0,0,2017
Bryce,Hughes,30,2,30,2017,,2017,,25,1,190,G,0,0,2017
Jonathan,DeWane,31,2,31,2016,,2016,,30,2,205,F,0,0,2017
Ryan ,Manning,32,2,32,2014,2017,2014,2017,32,4,200,F,0,0,2017
Frank,Toohey,33,2,33,2014,2017,2014,2017,33,4,220,C,0,0,2017
Ryan ,Swan,34,2,34,2016,,2016,,34,2,225,F,0,0,2017
James,Edwards,35,2,35,2017,,2017,,35,1,165,F,0,0,2017
Keaton,Van Soelen,36,2,36,2017,,2017,,44,1,190,G,0,0,2017
Marcus,Dickinson,37,3,37,2016,,2016,,0,2,177,G,0,0,2017
Cam,Christon,38,3,38,2017,,2017,,1,1,188,G,0,0,2017
Lexus ,Williams,39,3,39,2017,2017,2013,2017,2,5,167,G,1,0,2017
Justinian,Jessup,40,3,40,2016,,2016,,3,2,200,G,0,0,2017
Matt,Serven,41,3,41,2018,,2018,,4,1,166,G,0,1,2017
Malek,Harwell,42,3,42,2016,,2016,,5,2,188,G,0,0,2017
Robin,Jorch,43,3,43,2015,,2015,,10,3,245,C,0,0,2017
Zach,Haney,44,3,44,2015,,2015,,11,3,239,F,0,0,2017
